Date,Type,S0,K,T,r,sigma,Close Price,LTP,MC Price,MC StdErr,Error vs Close,Error vs LTP,Percent Error vs Close,Percent Error vs LTP
2025-11-13,PE,25879.15,25750.0,33.0,0.1,0.0745315652220664,214.9,214.9,97.96117599014609,7.105954981979051,-116.93882400985392,-116.93882400985392,-54.4154602186384,-54.4154602186384
2025-11-13,CE,25879.15,26500.0,33.0,0.1,0.0745315652220664,157.65,152.8,156.9684782883853,9.888721235460185,-0.6815217116146925,4.168478288385302,-0.43230048310478436,2.728061707058443
2025-11-13,PE,25879.15,25000.0,33.0,0.1,0.0745315652220664,66.2,65.75,10.57641878447289,2.3829935345925426,-55.62358121552711,-55.17358121552711,-84.02353657934609,-83.91419196277887
2025-11-13,CE,25879.15,27000.0,33.0,0.1,0.0745315652220664,54.8,53.15,55.60074880976464,6.187233545514137,0.8007488097646416,2.45074880976464,1.4612204557748933,4.611004345747206
2025-11-13,CE,25879.15,25850.0,33.0,0.1,0.0745315652220664,465.6,470.9,504.0434901780337,16.79170588788228,38.4434901780337,33.143490178033744,8.256763354388681,7.038328770022032
2025-11-13,CE,25879.15,26000.0,33.0,0.1,0.0745315652220664,376.7,367.5,409.20186066784987,15.652570385900908,32.50186066784988,41.70186066784987,8.628049022524523,11.34744507968704
2025-11-13,PE,25879.15,25350.0,33.0,0.1,0.0745315652220664,111.3,111.3,30.983490660850585,3.8012990599073406,-80.3165093391494,-80.3165093391494,-72.16218269465355,-72.16218269465355
2025-11-13,PE,25879.15,25950.0,33.0,0.1,0.0745315652220664,282.55,282.55,174.0030621014934,10.165663186495465,-108.5469378985066,-108.5469378985066,-38.41689538081989,-38.41689538081989
2025-11-13,CE,25879.15,27450.0,33.0,0.1,0.0745315652220664,23.0,22.95,16.610703773651117,2.9995475142473214,-6.389296226348883,-6.339296226348882,-27.779548810212535,-27.62220577929796
2025-11-13,CE,25879.15,26200.0,33.0,0.1,0.0745315652220664,276.05,281.2,279.11316596985944,13.495941902357668,3.0631659698594262,-2.086834030140551,1.1096417206518479,-0.7421173649148475
2025-11-13,CE,25879.15,26400.0,33.0,0.1,0.0745315652220664,189.3,189.3,197.16288003321145,11.13956799850883,7.8628800332114395,7.8628800332114395,4.1536608733288105,4.1536608733288105
2025-11-13,PE,25879.15,25800.0,33.0,0.1,0.0745315652220664,223.35,222.3,117.74192016089127,7.9047304720250375,-105.60807983910873,-104.55807983910874,-47.283671295772876,-47.034673791771816
